SESSION NAME:	A GREAT TV SHOW
SAMPLE RATE:	48000,000000
BIT DEPTH:	16-bit
SESSION START TIMECODE:	10:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	10
# OF AUDIO CLIPS:	621
# OF AUDIO FILES:	167


T R A C K  L I S T I N G
TRACK NAME:	A1
COMMENTS:	
USER DELAY:	0 Samples
STATE: Hidden Inactive 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	29      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.08-02.A2	10:17:15:24   	10:17:28:10   	00:00:12:11   	Unmuted
1       	30      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.08-01.A2	10:17:28:10   	10:17:40:11   	00:00:12:01   	Unmuted
1       	31      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.09-01.A2	10:17:40:11   	10:18:01:09   	00:00:20:23   	Unmuted
1       	32      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-08.A2	10:18:01:09   	10:19:09:09   	00:01:08:00   	Unmuted
1       	33      	C0002.new.01-01.A2            	10:19:09:09   	10:19:18:08   	00:00:08:24   	Unmuted
1       	34      	C0002.new.02-01.A2            	10:19:18:08   	10:19:20:14   	00:00:02:06   	Unmuted
1       	35      	C0002.new.03-01.A2            	10:19:20:14   	10:19:34:23   	00:00:14:09   	Unmuted
1       	36      	C0002.new.04-01.A2            	10:19:34:23   	10:20:05:04   	00:00:30:06   	Unmuted
1       	37      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-10.A2	10:20:05:04   	10:22:20:04   	00:02:15:00   	Unmuted
1       	38      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-01.A2	10:22:20:04   	10:22:21:00   	00:00:00:21   	Unmuted
1       	39      	C0003.new.01-01.A3            	10:22:21:00   	10:22:44:18   	00:00:23:18   	Unmuted
1       	40      	C0003.new.03-03               	10:22:44:18   	10:22:58:01   	00:00:13:08   	Unmuted
1       	41      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-09.A2	10:22:58:01   	10:24:51:01   	00:01:53:00   	Unmuted
1       	42      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-07.A2	10:24:51:01   	10:25:54:12   	00:01:03:11   	Unmuted
1       	43      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-03.A2	10:25:54:12   	10:26:25:18   	00:00:31:06   	Unmuted
1       	44      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-05.A2	10:26:25:18   	10:27:10:10   	00:00:44:17   	Unmuted
1       	45      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-04.A2	10:27:10:10   	10:27:43:15   	00:00:33:05   	Unmuted
1       	46      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-02.A2	10:27:43:15   	10:27:55:11   	00:00:11:21   	Unmuted
1       	47      	CTPA161204_0062_10001400_10084800.new.01-01.A2	10:27:55:11   	10:27:59:13   	00:00:04:02   	Unmuted
1       	48      	CTPA161204_0062_10001400_10084800.new.01-02.A2	10:27:59:13   	10:28:04:22   	00:00:05:09   	Unmuted
1       	49      	CTPA161204_0062_10001400_10084800.new.02-01.A2	10:28:04:22   	10:28:08:09   	00:00:03:12   	Unmuted
1       	50      	CTPA161204_0062_10001400_10084800.new.03-01.A2	10:28:08:09   	10:28:13:12   	00:00:05:03   	Unmuted
1       	51      	CTPA161204_0062_10001400_10084800.new.01-03.A2	10:28:13:12   	10:28:20:11   	00:00:06:24   	Unmuted
1       	52      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.10-06.A2	10:28:20:11   	10:29:10:03   	00:00:49:17   	Unmuted
1       	53      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.11-02.A2	10:29:10:03   	10:29:34:09   	00:00:24:06   	Unmuted
